class,description,numbers
Поддержка по отзывам,удалить отзыв компания глазной город удаляться отзыв пользователь рд утверждать данный пользователь пользоваться услуга,14
API,доступ апи коллега выдать доступ сервис апи специалист документооборот апи,10
Группа Digital,продвижение контекстный реклама частный специалист звать частный маркетолог писать решить написать рассказать заниматься посещать отраслевой мероприятие следить тренд маркетинг работать крупный агентство владеть инструмент веб аналитик глубоко погружаться проект подробно разбираться специфика бизнес среди услуга предлагать поисковый продвижение сайт управление репутация накрутка поисковый подсказка яндекс генерация готовый заявка тематика заявка купить сразу сквозной аналитика заинтересовать предложение обсудить возможность сотрудничество написать телефон перезвонить,62
Группа Digital,частный шуваловский гимназия чоу,4
Atlassian,автоматический назначение тикета джир исходить сделать следующий проект приходить тикета уволить сотрудник автомат назначать исполнитель группа управление региональный приходить тикета уволить сотрудник назначать группа системный администрирование офис,27
Поддержка товаров,запрос поддержка вопрос витрина клиент настроить личный кабинет заявка приходить заявка приходить лк письмо заявка,15
IR,запускаться инфораша продолжение выполнить пункт чистить инфораша выдавать удаваться загрузить файл приложение заместитель клиент франчайзи,15
CRM отдел,закрыть заказ вывеска закрыть заказ вывеска фирма пункт замена замена размещение пакет,12
Личный Кабинет,предоставить доступ лк отправить доступ лк клиент фирма смт многопрофильный медицинский менеджер клиент,13
Группа Digital,инфо плюс рассчитать текущий рд инфо плюс возможность сделать позиция необходимость сделать запрос менеджер клиент зорг,16
Телекомунникация и связь,переадресация помочь переадресация эксперт реклама акц сити,7
CRM отдел,онлайн реклама проверка онлайн выйти фирма видео чередоваться фирма вытяжка рубрика бытовой техника убрать фирма видео очередь портал стоить ажалиев зинурович администратор учёт моб писать отзыв партнёр вирус,28
Fiji,вылетать вылет массовый редактирование объект обводить рамка кликать специалист,9
Export buildman,объект геометрия объект геометрия,4
Группа Digital,ломоносовский фарфор посчитать размещение яндекс директ,6
Личный Кабинет,лк фирма клиент лк отображаться получить доступ остальной рекламодатель надёжный дверь компания клиент дверь слить лк смочь просматривать,18
API,нарисовать карта проезд инструмент рисование произвольный вообще добавить маркёр допустить произвольно место сделать помощь апи яндекс карта отправитель платформа браузер оценка вложить файл,23
IR,синхронизация инфораша синхронизация менеджер клиент марксистский город помочь выбрать шиномонтаж,10
CRM отдел,создать фирма девчоночка создать фирма служба доставка куратор деминовый клиент,10
IR,работать работать неактивный кнопка устранить неполадка тюленевый ведущий,8
Личный Кабинет,клиент необходимый личный кабинет добавить возможность объединить телек ктс телек кузбасстехноспорт франчайзи пр,13
Поддержка товаров,товар компания лк возможность добавить товар щина диск рубрика кнопка товар,11
Export buildman,экспорт срочно срочно сборка выдать превысить таймаут семафор администратор сахалинск моб,11
IR,доступ инфораша запрашивать доступ инфораша написать право выдать открытие выходить окно надпись вход невозможный скрин прилагаться филпов специалист,18
Export buildman,доступ город сервис экспорт предоставить доступ город сервис экспорт билдмане осуществление сборка,12
Телекомунникация и связь,работать телефон коллега телемаркетинг связь телефония звонить возможно устранить проблема телепродажа,11
Телекомунникация и связь,изм внутро номер изменить номер любой номер номер город телефон прислать сайфутдин йошкара пр бц,15
CRM отдел,форма коллега клиент распечатать принять честно нравиться видно плохо,9
Группа корректуры РМ,заявка модерация графический реклама ускорить модерация,6
Личный Кабинет,доступ лк доступ лк рекламодатель фирма ретка настольный подарок рекламодатель лк список компания,13
Поддержка товаров,загрузка товар лк сориентировать ранее лк возможность загрузить формат написать служба поддержка помочь загрузить услуга вложение рд формат ждать ответ водоливовый пересылать сообщение водоливовый,24
Личный Кабинет,проблема добавление соответствовать требование вопрос мпп та возникнуть проблема добавление лк продукт прилагать подходить формат размер разрешение выдавать загрузка помочь компания встать релама сделать специально снимок наполненность карточка уважение менеджер,30
Fiji,загружаться дать загружаться дать слой карта,6
Группа Digital,уралспецсвет клиент продляться условие подтвердить размещение июль,7
Телекомунникация и связь,присвоить номер аппарат коллега сменить номер цискофоновый возможность мск окт матизный,11
Группа корректуры РМ,заявка модерация графический реклама ссылка одобрить рм,7
CRM отдел,переставить компания необходимо переставить товар куратор компания выходить размещение необходимо завести размещение идти местный реквизит надеяться взаимовыгодный сотрудничество руководитель отдел продажа киренцов тело,23
Atlassian,доступ обучение учеткать сделать локать переводить администратор сахалинск моб,9
Atlassian,джир отсутствовать доступ вне активность джир,6
Группа корректуры РМ,заявка модерация графический реклама повторно одобрить,6
Телекомунникация и связь,запустить запись запустить период запись номер запись вложение позвонить поздравлять наступать декабрь компания работать декабрь компания работать написать оставить голосовой сообщение нажать цифра назвать номер телефон код город заранее клиент,30
Группа Digital,диджитал бьютя студия клиент предоставить доступ метрика хромовый специалист продажа добровольческий бригада тк,13
Группа Digital,расчёт рассчитать срс рубрика электроустановочный продукция электротехнический продукция бюджет объём компания кабель плюс внимание заявка изменение рекламный материал приниматься число филпов тело тело моб добровольческий бригада тк,27
Export buildman,запрос поддержка клиент экспорт соединиться служба версия клиент автообновление запускаться должный тело,12
Fiji,проблема поиск коллега поиск резьтат выдаваться адрес объект фича здание показываться приходиться перемещать карта вручную неудобно город искать вчера работать корректно игоревич специалист трц,24
